File Name, ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Lot,Rev,Group,GroupID,Aluminum (wt%),Carbon (wt%),Chromium (wt%),Hydrogen (wt%),Iron (wt%),Nickel (wt%),Nitrogen (wt%),Oxygen (wt%),Silicon (wt%),Titanium (wt%),Vanadium (wt%),Yttrium (wt%)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1442,3,0,3,6.51,0.01,0.014,0.0015,0.2,0.011,0.008,0.148,0.014,89.138,3.97,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1442,3,0,4,6.44,0.01,0.015,0.0017,0.24,0.011,0.005,0.142,0.013,89.2158,3.93,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1442,1,0,5,6.5,0.011,0.013,0.0013,0.17,0.01,0.011,0.149,0.013,89.1142,4.03,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1442,1,0,6,6.48,0.008,0.013,0.0012,0.19,0.01,0.014,0.162,0.013,89.0613,4.07,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1442,1,0,7,6.49,0.013,0.011,0.0011,0.17,0.01,0.013,0.153,0.013,89.1584,3.99,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1442,1,0,8,6.48,0.008,0.014,0.0012,0.16,0.011,0.022,0.157,0.016,89.0973,4.06,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1442,4,0,2,6.29,0.012,0.013,0.0016,0.18,0.0,0.011,0.191,0.014,89.5539,3.76,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1442,1,0,3,6.39,0.015,0.0,0.0013,0.19,0.0,0.014,0.17,0.0,89.3997,4.01,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1442,1,0,2,6.35,0.016,0.0,0.0013,0.2,0.0,0.012,0.164,0.0,89.4767,3.98,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1442,1,0,1,6.21,0.016,0.0,0.0014,0.19,0.0,0.012,0.162,0.0,89.5686,4.03,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1442,4,0,3,6.45,0.009,0.013,0.0018,0.18,0.0,0.006,0.139,0.015,89.3537,3.86,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1442,7,0,2,6.47,0.007,0.014,0.0014,0.18,0.01,0.013,0.185,0.013,89.1491,3.98,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1442,5,0,3,6.42,0.007,0.012,0.0017,3.99,0.0,0.017,0.198,0.014,89.1758,0.19,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1442,1,0,4,6.4,0.016,0.0,0.0014,0.19,0.0,0.011,0.177,0.0,89.3646,4.03,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1442,2,0,1,6.31,0.009,0.014,0.0014,0.18,0.01,0.01,0.168,0.011,89.3971,3.91,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1442,2,0,2,6.5,0.01,0.014,0.0011,0.19,0.011,0.011,0.166,0.012,89.0174,4.09,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1442,2,0,3,6.31,0.008,0.013,0.0013,0.19,0.01,0.01,0.173,0.012,89.2642,4.03,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1442,2,0,4,6.45,0.009,0.014,0.001,0.19,0.011,0.011,0.161,0.011,89.1535,4.01,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1442,2,0,5,6.43,0.008,0.013,0.0014,0.18,0.01,0.015,0.164,0.011,89.2881,3.9,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1442,7,0,1,6.46,0.007,0.014,0.0019,0.17,0.01,0.014,0.185,0.012,89.1776,3.97,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1442,4,0,1,6.39,0.01,0.011,0.0023,0.17,0.0,0.012,0.184,0.012,89.2212,4.01,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1444,7,0,1,6.36,0.01,0.015,0.0038,0.2,0.01,0.013,0.155,0.016,89.2227,4.02,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1444,2,0,3,6.5,0.019,0.01,0.002,0.19,0.0,0.008,0.084,0.011,89.2165,3.98,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1444,5,0,1,6.37,0.007,0.013,0.0017,0.18,0.01,0.013,0.145,0.011,89.3398,3.93,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1444,2,0,8,6.43,0.007,0.014,0.0019,0.19,0.0,0.013,0.109,0.014,89.3086,3.94,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1444,1,0,VAC,6.17,0.007,0.013,0.0021,0.18,0.01,0.007,0.077,0.012,89.5434,4.0,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1444,1,0,PRS,6.44,0.008,0.013,0.0012,0.18,0.01,0.012,0.092,0.013,89.2433,4.01,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1444,8,0,3,6.33,0.011,0.015,0.0015,0.18,0.011,0.014,0.167,0.014,89.221,4.06,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1444,4,0,4,6.44,0.007,0.0,0.0012,0.19,0.0,0.014,0.128,0.013,89.2598,3.96,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1444,9,0,3,6.39,0.01,0.015,0.0016,0.19,0.011,0.015,0.177,0.01,89.2309,3.97,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1444,2,0,1,6.44,0.01,0.015,0.0018,0.18,0.011,0.014,0.103,0.013,89.2457,3.99,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1444,4,0,3,6.325,0.0115,0.0,0.00145,0.19,0.0,0.01275,0.133,0.0125,89.3313,3.995,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1444,3,0,5,6.46,0.006,0.0,0.0014,0.19,0.0,0.013,0.113,0.014,89.3166,3.9,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1444,2,0,7,6.4,0.007,0.013,0.0018,0.2,0.011,0.01,0.097,0.011,89.33070000000001,3.94,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1444,5,0,2,6.37,0.015,0.012,0.0015,0.19,0.0,0.014,0.144,0.012,89.275,3.99,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1444,4,0,5,6.48,0.01,0.015,0.0016,0.18,0.01,0.012,0.123,0.011,89.14789999999999,4.03,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1444,1,0,7,6.43,0.011,0.017,0.0031,0.21,0.012,0.006,0.087,0.015,89.2154,4.02,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1444,3,0,1,6.42,0.008,0.014,0.0018,0.2,0.0,0.017,0.12,0.015,89.2927,3.94,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P222,1,0,5,6.39,0.008,0.011,0.0016,0.19,0.01,0.012,0.185,0.011,89.1219,4.08,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P222,1,0,2,6.38,0.01,0.0,0.0011,0.2,0.0,0.015,0.196,0.014,89.2479,3.95,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P222,2,0,2,6.45,0.015,0.014,0.0018,0.19,0.011,0.014,0.223,0.016,89.2317,3.86,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P222,2,0,1,6.38,0.015,0.014,0.0016,0.18,0.01,0.015,0.19,0.015,89.29390000000001,3.91,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P222,1,0,3,6.34,0.007,0.013,0.0011,0.19,0.01,0.018,0.2,0.011,89.2204,4.01,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P222,1,0,4,6.35,0.007,0.011,0.0018,0.19,0.01,0.016,0.188,0.011,89.1957,4.04,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P222,2,0,4,6.25,0.01,0.015,0.0012,0.19,0.0,0.014,0.186,0.011,89.3783,3.97,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P2002,1,0,7,6.35,0.009,0.012,0.0015,0.2,0.011,0.008,0.134,0.011,89.275,4.01,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P2002,1,0,5,6.41,0.007,0.013,0.0015,0.19,0.011,0.013,0.133,0.01,89.362,3.87,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P2002,1,0,1,6.41,0.011,0.013,0.0015,0.21,0.01,0.015,0.137,0.015,89.2175,3.98,0.005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P2002,1,0,14,6.44,0.009,0.012,0.001,0.19,0.0,0.011,0.184,0.011,89.1945,3.97,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P2002,1,0,4,6.44,0.006,0.018,0.0013,0.19,0.012,0.009,0.129,0.015,89.1462,4.06,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P2002,1,0,8,6.42,0.008,0.013,0.0011,0.24,0.011,0.012,0.138,0.01,89.1474,4.02,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P2002,1,0,9,6.45,0.01,0.013,0.0015,0.22,0.011,0.013,0.131,0.01,89.17099999999999,3.99,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P2002,1,0,12,6.44,0.008,0.011,0.002,0.19,0.0,0.008,0.158,0.01,89.1935,4.0,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P2002,1,0,2,6.4,0.007,0.017,0.0014,0.18,0.013,0.008,0.151,0.014,89.2951,3.94,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P2002,1,0,10,6.44,0.011,0.013,0.0015,0.19,0.011,0.009,0.148,0.011,89.287,3.9,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P2002,1,0,13,6.41,0.007,0.012,0.002,0.19,0.0,0.02,0.172,0.013,89.2085,3.99,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1440,6,0,1,6.25,0.014,0.0,0.0015,0.17,0.0,0.013,0.197,0.012,89.5245,3.83,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1440,3,0,1,6.35,0.008,0.011,0.0013,0.18,0.011,0.012,0.169,0.015,89.26820000000001,4.0,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1440,3,0,2,6.39,0.008,0.011,0.0014,0.19,0.01,0.015,0.163,0.012,89.1811,4.04,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1442,3,0,1,6.4,0.008,0.012,0.0015,0.18,0.01,0.014,0.159,0.012,89.255,3.97,0.0005
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1440,4,0,2,6.42,0.007,0.011,0.0014,0.19,0.0,0.014,0.179,0.01,89.1881,4.0,0.0005
